cod;classes;bandas;value;comp_onda
1;sedimentos;Blue;0,11164375;0,48
1;sedimentos;Blue;0,0723875;0,48
1;sedimentos;Blue;0,06906;0,48
1;sedimentos;Blue;0,0947175;0,48
1;sedimentos;Blue;0,0856975;0,48
1;sedimentos;Blue;0,10503;0,48
1;sedimentos;Blue;0,14661;0,48
1;sedimentos;Blue;0,11174;0,48
1;sedimentos;Blue;0,0363625;0,48
1;sedimentos;Blue;0,11956375;0,48
1;sedimentos;Blue;0,10718875;0,48
1;sedimentos;Blue;0,09049625;0,48
1;sedimentos;Blue;0,0597925;0,48
1;sedimentos;Blue;0,09497875;0,48
1;sedimentos;Blue;0,0504975;0,48
1;sedimentos;Blue;0,1135275;0,48
1;sedimentos;Blue;0,11546625;0,48
1;sedimentos;Blue;0,09634;0,48
1;sedimentos;Blue;0,06862;0,48
1;sedimentos;Blue;0,1271125;0,48
1;sedimentos;Blue;0,13793375;0,48
1;sedimentos;Blue;0,04418625;0,48
1;sedimentos;Blue;0,1130875;0,48
1;sedimentos;Blue;0,1301925;0,48
1;sedimentos;Blue;0,09178875;0,48
1;sedimentos;Blue;0,110365;0,48
1;sedimentos;Blue;0,11684125;0,48
1;sedimentos;Blue;0,09744;0,48
1;sedimentos;Blue;0,1044525;0,48
1;sedimentos;Blue;0,069335;0,48
1;sedimentos;Blue;0,09357625;0,48
1;sedimentos;Blue;0,08188875;0,48
1;sedimentos;Blue;0,03918125;0,48
1;sedimentos;Blue;0,0658425;0,48
1;sedimentos;Blue;0,1039025;0,48
1;sedimentos;Blue;0,07630625;0,48
1;sedimentos;Blue;0,086055;0,48
1;sedimentos;Blue;0,0870725;0,48
1;sedimentos;Blue;0,11796875;0,48
1;sedimentos;Blue;0,10771125;0,48
1;sedimentos;Blue;0,07768125;0,48
1;sedimentos;Blue;0,03502875;0,48
1;sedimentos;Blue;0,09409875;0,48
1;sedimentos;Blue;0,0412025;0,48
1;sedimentos;Blue;0,0686475;0,48
1;sedimentos;Blue;0,07542625;0,48
1;sedimentos;Blue;0,09594125;0,48
2;agua;Blue;0,0227775;0,48
2;agua;Blue;0,025335;0,48
2;agua;Blue;0,0244;0,48
2;agua;Blue;0,02495;0,48
2;agua;Blue;0,0234925;0,48
2;agua;Blue;0,025115;0,48
2;agua;Blue;0,0292675;0,48
2;agua;Blue;0,02801625;0,48
2;agua;Blue;0,0221725;0,48
2;agua;Blue;0,02143;0,48
2;agua;Blue;0,021705;0,48
2;agua;Blue;0,0254175;0,48
2;agua;Blue;0,023025;0,48
2;agua;Blue;0,0827;0,48
2;agua;Blue;0,0287175;0,48
2;agua;Blue;0,0342725;0,48
2;agua;Blue;0,028085;0,48
2;agua;Blue;0,02638;0,48
2;agua;Blue;0,0262975;0,48
2;agua;Blue;0,02515625;0,48
2;agua;Blue;0,0380125;0,48
2;agua;Blue;0,03403875;0,48
2;agua;Blue;0,03122;0,48
2;agua;Blue;0,0267375;0,48
2;agua;Blue;0,025885;0,48
2;agua;Blue;0,03001;0,48
2;agua;Blue;0,02539;0,48
2;agua;Blue;0,0287175;0,48
2;agua;Blue;0,022805;0,48
2;agua;Blue;0,03122;0,48
2;agua;Blue;0,02680625;0,48
2;agua;Blue;0,02699875;0,48
2;agua;Blue;0,02284625;0,48
2;agua;Blue;0,0558875;0,48
2;agua;Blue;0,02644875;0,48
2;agua;Blue;0,024125;0,48
2;agua;Blue;0,0396625;0,48
2;agua;Blue;0,0298175;0,48
2;agua;Blue;0,0266275;0,48
2;agua;Blue;0,0249225;0,48
2;agua;Blue;0,02565125;0,48
2;agua;Blue;0,0287725;0,48
2;agua;Blue;0,02600875;0,48
2;agua;Blue;0,0250325;0,48
2;agua;Blue;0,02495;0,48
2;agua;Blue;0,02693;0,48
2;agua;Blue;0,0179925;0,48
2;agua;Blue;0,0149675;0,48
2;agua;Blue;0,0152975;0,48
2;agua;Blue;0,01506375;0,48
2;agua;Blue;0,0201925;0,48
2;agua;Blue;0,01725;0,48
2;agua;Blue;0,020165;0,48
2;agua;Blue;0,02391875;0,48
2;agua;Blue;0,02017875;0,48
2;agua;Blue;0,032595;0,48
2;agua;Blue;0,031;0,48
2;agua;Blue;0,0353175;0,48
2;agua;Blue;0,03749;0,48
2;agua;Blue;0,03742125;0,48
2;agua;Blue;0,04413125;0,48
2;agua;Blue;0,0276725;0,48
2;agua;Blue;0,03188;0,48
2;agua;Blue;0,0275625;0,48
2;agua;Blue;0,02616;0,48
2;agua;Blue;0,0303675;0,48
2;agua;Blue;0,02484;0,48
2;agua;Blue;0,02438625;0,48
2;agua;Blue;0,020055;0,48
2;agua;Blue;0,023795;0,48
2;agua;Blue;0,059215;0,48
2;agua;Blue;0,02715;0,48
2;agua;Blue;0,03309;0,48
2;agua;Blue;0,0408725;0,48
2;agua;Blue;0,01962875;0,48
2;agua;Blue;0,030175;0,48
2;agua;Blue;0,0240975;0,48
2;agua;Blue;0,0256925;0,48
2;agua;Blue;0,0307525;0,48
2;agua;Blue;0,0267925;0,48
2;agua;Blue;0,0248125;0,48
2;agua;Blue;0,03054625;0,48
2;agua;Blue;0,04519;0,48
2;agua;Blue;0,02820875;0,48
2;agua;Blue;0,0333925;0,48
2;agua;Blue;0,0394425;0,48
2;agua;Blue;0,0434575;0,48
2;agua;Blue;0,03265;0,48
2;agua;Blue;0,0152425;0,48
2;agua;Blue;0,0270675;0,48
2;agua;Blue;0,01844625;0,48
2;agua;Blue;0,016315;0,48
2;agua;Blue;0,0194775;0,48
2;agua;Blue;0,00988;0,48
2;agua;Blue;0,0091925;0,48
2;agua;Blue;0,0165625;0,48
2;agua;Blue;0,029075;0,48
2;agua;Blue;0,02358875;0,48
2;agua;Blue;0,0253075;0,48
2;agua;Blue;0,0695825;0,48
2;agua;Blue;0,0764575;0,48
2;agua;Blue;0,0724975;0,48
2;agua;Blue;0,048545;0,48
2;agua;Blue;0,01747;0,48
2;agua;Blue;0,0314125;0,48
2;agua;Blue;0,01729125;0,48
2;agua;Blue;0,026985;0,48
2;agua;Blue;0,0166725;0,48
2;agua;Blue;0,0222825;0,48
2;agua;Blue;0,067905;0,48
2;agua;Blue;0,05546125;0,48
2;agua;Blue;0,0339425;0,48
2;agua;Blue;0,0364175;0,48
2;agua;Blue;0,03166;0,48
2;agua;Blue;0,027535;0,48
2;agua;Blue;0,0228875;0,48
2;agua;Blue;0,0331725;0,48
2;agua;Blue;0,01971125;0,48
2;agua;Blue;0,01748375;0,48
2;agua;Blue;0,01352375;0,48
2;agua;Blue;0,0173325;0,48
2;agua;Blue;0,02031625;0,48
2;agua;Blue;0,022145;0,48
2;agua;Blue;0,014995;0,48
2;agua;Blue;0,0119425;0,48
2;agua;Blue;0,03021625;0,48
2;agua;Blue;0,05790875;0,48
2;agua;Blue;0,0432375;0,48
2;agua;Blue;0,025555;0,48
2;agua;Blue;0,02191125;0,48
2;agua;Blue;0,0212925;0,48
2;agua;Blue;0,02144375;0,48
2;agua;Blue;0,02138875;0,48
2;agua;Blue;0,01703;0,48
2;agua;Blue;0,017305;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,0242075;0,48
2;agua;Blue;0,0191475;0,48
2;agua;Blue;0,0179375;0,48
2;agua;Blue;0,018075;0,48
2;agua;Blue;0,0181575;0,48
2;agua;Blue;0,017965;0,48
2;agua;Blue;0,0241525;0,48
2;agua;Blue;0,02231;0,48
2;agua;Blue;0,0214025;0,48
2;agua;Blue;0,019065;0,48
2;agua;Blue;0,018515;0,48
2;agua;Blue;0,0188175;0,48
2;agua;Blue;0,0187625;0,48
2;agua;Blue;0,0243175;0,48
2;agua;Blue;0,0251975;0,48
2;agua;Blue;0,02561;0,48
2;agua;Blue;0,0228325;0,48
2;agua;Blue;0,02231;0,48
2;agua;Blue;0,0255275;0,48
2;agua;Blue;0,02231;0,48
2;agua;Blue;0,0245375;0,48
2;agua;Blue;0,02231;0,48
2;agua;Blue;0,0264075;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,0257475;0,48
2;agua;Blue;0,025775;0,48
2;agua;Blue;0,0221725;0,48
2;agua;Blue;0,02603625;0,48
2;agua;Blue;0,02231;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,023355;0,48
2;agua;Blue;0,0272325;0,48
2;agua;Blue;0,0260775;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,02226875;0,48
2;agua;Blue;0,0290475;0,48
2;agua;Blue;0,0242625;0,48
2;agua;Blue;0,02589875;0,48
2;agua;Blue;0,02507375;0,48
2;agua;Blue;0,02686125;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,02499125;0,48
2;agua;Blue;0,027315;0,48
2;agua;Blue;0,02298375;0,48
2;agua;Blue;0,02457875;0,48
2;agua;Blue;0,02548625;0,48
2;agua;Blue;0,02605;0,48
2;agua;Blue;0,0249775;0,48
2;agua;Blue;0,02543125;0,48
2;agua;Blue;0,0249775;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,0222825;0,48
2;agua;Blue;0,0248675;0,48
2;agua;Blue;0,02584375;0,48
2;agua;Blue;0,0222825;0,48
2;agua;Blue;0,02675125;0,48
2;agua;Blue;0,02716375;0,48
2;agua;Blue;0,0246475;0,48
2;agua;Blue;0,0270125;0,48
2;agua;Blue;0,02592625;0,48
2;agua;Blue;0,0290475;0,48
2;agua;Blue;0,02583;0,48
2;agua;Blue;0,024895;0,48
2;agua;Blue;0,023685;0,48
2;agua;Blue;0,02463375;0,48
2;agua;Blue;0,02704;0,48
2;agua;Blue;0,02704;0,48
2;agua;Blue;0,0297075;0,48
2;agua;Blue;0,02792;0,48
2;agua;Blue;0,0270675;0,48
2;agua;Blue;0,0270675;0,48
2;agua;Blue;0,026985;0,48
2;agua;Blue;0,026985;0,48
2;agua;Blue;0,02671;0,48
2;agua;Blue;0,02741125;0,48
2;agua;Blue;0,0271225;0,48
2;agua;Blue;0,028745;0,48
2;agua;Blue;0,029295;0,48
2;agua;Blue;0,029405;0,48
2;agua;Blue;0,0271225;0,48
2;agua;Blue;0,0267375;0,48
2;agua;Blue;0,02974875;0,48
2;agua;Blue;0,01274;0,48
2;agua;Blue;0,0143625;0,48
2;agua;Blue;0,0124375;0,48
2;agua;Blue;0,0155725;0,48
2;agua;Blue;0,01388125;0,48
2;agua;Blue;0,0149125;0,48
2;agua;Blue;0,014775;0,48
2;agua;Blue;0,0156275;0,48
2;agua;Blue;0,0157375;0,48
2;agua;Blue;0,0156;0,48
2;agua;Blue;0,0157925;0,48
2;agua;Blue;0,01506375;0,48
2;agua;Blue;0,0141975;0,48
2;agua;Blue;0,01528375;0,48
2;agua;Blue;0,01263;0,48
2;agua;Blue;0,0151875;0,48
2;agua;Blue;0,0147475;0,48
2;agua;Blue;0,014555;0,48
2;agua;Blue;0,0148025;0,48
2;agua;Blue;0,015105;0,48
2;agua;Blue;0,0160125;0,48
2;agua;Blue;0,01604;0,48
2;agua;Blue;0,01527;0,48
2;agua;Blue;0,015215;0,48
2;agua;Blue;0,01547625;0,48
2;agua;Blue;0,0161775;0,48
2;agua;Blue;0,0134;0,48
2;agua;Blue;0,0156;0,48
2;agua;Blue;0,01505;0,48
2;agua;Blue;0,0146925;0,48
2;agua;Blue;0,015545;0,48
2;agua;Blue;0,0156275;0,48
2;agua;Blue;0,01538;0,48
2;agua;Blue;0,016205;0,48
2;agua;Blue;0,01648;0,48
2;agua;Blue;0,0162875;0,48
2;agua;Blue;0,01720875;0,48
2;agua;Blue;0,01791;0,48
2;agua;Blue;0,016535;0,48
2;agua;Blue;0,0135925;0,48
2;agua;Blue;0,014775;0,48
2;agua;Blue;0,0148575;0,48
2;agua;Blue;0,014995;0,48
2;agua;Blue;0,01516;0,48
2;agua;Blue;0,0161225;0,48
2;agua;Blue;0,01676875;0,48
2;agua;Blue;0,016205;0,48
2;agua;Blue;0,014775;0,48
2;agua;Blue;0,01473375;0,48
2;agua;Blue;0,01682375;0,48
2;agua;Blue;0,01690625;0,48
2;agua;Blue;0,01461;0,48
2;agua;Blue;0,01558625;0,48
2;agua;Blue;0,015325;0,48
2;agua;Blue;0,0157925;0,48
2;agua;Blue;0,016095;0,48
2;agua;Blue;0,0155175;0,48
2;agua;Blue;0,01703;0,48
2;agua;Blue;0,01527;0,48
2;agua;Blue;0,014775;0,48
2;agua;Blue;0,01503625;0,48
2;agua;Blue;0,0149125;0,48
2;agua;Blue;0,014665;0,48
2;agua;Blue;0,0146375;0,48
2;agua;Blue;0,014775;0,48
2;agua;Blue;0,01626;0,48
2;agua;Blue;0,0165075;0,48
2;agua;Blue;0,016205;0,48
2;agua;Blue;0,015765;0,48
2;agua;Blue;0,0170025;0,48
2;agua;Blue;0,01648;0,48
2;agua;Blue;0,0173875;0,48
2;agua;Blue;0,015655;0,48
2;agua;Blue;0,01498125;0,48
2;agua;Blue;0,01461;0,48
2;agua;Blue;0,01500875;0,48
2;agua;Blue;0,0156275;0,48
2;agua;Blue;0,0167;0,48
2;agua;Blue;0,01718125;0,48
2;agua;Blue;0,01712625;0,48
2;agua;Blue;0,01638375;0,48
2;agua;Blue;0,0154075;0,48
2;agua;Blue;0,01652125;0,48
2;agua;Blue;0,01736;0,48
2;agua;Blue;0,01693375;0,48
2;agua;Blue;0,01528375;0,48
2;agua;Blue;0,01489875;0,48
2;agua;Blue;0,01527;0,48
2;agua;Blue;0,01577875;0,48
2;agua;Blue;0,01659;0,48
2;agua;Blue;0,014885;0,48
2;agua;Blue;0,0178825;0,48
2;agua;Blue;0,017415;0,48
2;agua;Blue;0,01660375;0,48
2;agua;Blue;0,01648;0,48
